,salon_ventas,canales_on_line,ventas_totales_medio_pago
0,27591730.12689,267141.956,27858872.08289
1,25749179.39807,245020.769,25994200.16707
2,27472228.718250018,307777.804,27780006.52225002
3,28827479.48661001,306792.733,29134272.21961001
4,27569311.41494,399693.262,27969004.676939998
5,28763865.4186,368847.326,29132712.7446
6,30815311.77359001,366990.683,31182302.456590004
7,30763355.89174,391525.052,31154880.943740003
8,30135595.69727,385910.498,30521506.19527
9,31980223.91264,465759.10129,32445983.01393
10,33122387.951610014,506594.70549,33628982.657100014
11,40320285.2796,446036.8247,40766322.1043
12,32103107.855989996,376100.1495799999,32479208.00556999
13,31357444.8335,379379.71864,31736824.55214
14,36055413.05464001,475878.27403,36531291.32867001
15,33622270.978180006,491474.68862,34113745.66680001
16,34407391.593590006,725754.7976899999,35133146.39128
17,37744796.10936996,593413.63629,38338209.74565996
18,38696650.90644997,581799.0561899999,39278449.96263997
19,38852702.48435998,639204.78984,39491907.27419998
20,39313002.17497999,612546.82257,39925548.99754999
21,42646486.70567999,773767.1168,43420253.82247999
22,44076960.79194998,772485.21409,44849446.00603998
23,56452356.42238999,751599.44123,57203955.86361999
24,44740575.24163,693048.47043,45433623.71206
25,43914187.05556002,677957.8397799999,44592144.895340025
26,50347782.683160014,717911.5714899999,51065694.25465001
27,48939565.17114004,681844.1039799999,49621409.27512004
28,49813853.04009,964446.87431,50778299.9144
29,53591716.25316001,821703.3616599999,54413419.61482
30,54121341.62436,923140.63296,55044482.25732
31,58647926.47731001,1024177.97836,59672104.45567001
32,56887830.18007998,997476.22679,57885306.40686999
33,65144928.115430005,1180651.47825,66325579.59368
34,66454203.74208,1489506.4453500002,67943710.18743
35,82246180.67768,1278463.61382,83524644.2915
36,69104127.61199,1040882.66074,70145010.27273001
37,71514175.14700998,980258.51473,72494433.66173999
38,84174875.51342997,1603155.57539,85778031.08881997
39,71798954.70953001,3210641.9290200006,75009596.63855001
40,74966605.02587001,3627916.794580001,78594521.82045001
41,74554853.95878996,3678005.64307,78232859.60185996
42,76413721.76438998,4726974.45707,81140696.22145997
43,76406528.27118002,4005445.0164,80411973.28758001
44,73111415.16161998,3944359.19539,77055774.35700998
45,84622602.74864998,4601678.305080001,89224281.05372998
46,86255330.60578996,4838176.70645,91093507.31223996
47,111830218.56443,3975909.55075,115806128.11518
48,94524545.26598,3483037.9868500005,98007583.25283
49,89908053.01556998,3046180.66555,92954233.68111998
50,103243215.2959,3982669.19388,107225884.48978
51,102742178.64234994,4128007.24374,106870185.88608997
52,104997658.23470998,5607036.33009,110604694.56479998
53,111477594.54618998,4810298.409969999,116287892.95615998
54,120904098.31748004,4754454.214929999,125658552.53241004
55,120181530.94271998,4658789.019680001,124840319.9624
56,118585472.17123003,4416780.258529999,123002252.42976004
57,136000643.3463,4486843.91995,140487487.26625
58,135950778.84937298,5751181.80928,141701960.658653
59,178866721.2456501,5116430.63427,183983151.87992013
60,149697614.62836808,4819479.553599999,154517094.1819681
61,148406529.31365797,3796044.07646,152202573.39011797
62,164321107.28065014,4661394.998140001,168982502.27879015
63,173003799.07694,4144283.743260001,177148082.8202
64,175358487.53030995,4280751.112880001,179639238.64318994
